components,delta,count
2,0,2880
2,8,4800
2,15392,69264
2,15400,53900
16,0,115439
16,16,1
16,112,386
16,120,1728129
16,128,579
16,136,193
16,144,386
16,15272,2
16,15512,2
16,15520,1
16,46296,2
