config,level,accesses,misses,evictions,traffic-up
TX2,1,271882946,44264208,44263696,2832909312
TX2,2,44264208,35530268,35526172,2273937152
TX2,3,35530268,35388942,34864654,2264892288
A64FX,1,257339004,10773848,10773592,2758105088
A64FX,2,10773848,8879989,8847221,2273277184
