components,delta,count
2,0,2880
2,8,4800
2,15392,69264
2,15400,53900
8,0,230879
8,16,1
8,48,386
8,56,3457809
8,64,579
8,72,193
8,80,386
8,15336,2
8,15448,2
8,15456,1
8,46232,2
