components,delta,count
2,0,2880
2,8,4800
2,15392,69264
2,15400,53900
32,0,57719
32,16,1
32,240,386
32,248,863289
32,256,579
32,264,193
32,272,386
32,15144,2
32,15640,2
32,15648,1
32,46424,2
