components,delta,count
2,0,2880
2,8,4800
2,15392,69264
2,15400,53900
4,0,461759
4,16,387
4,24,6917169
4,32,579
4,40,193
4,48,386
4,15368,2
4,15416,2
4,15424,1
4,46200,2
