config,level,accesses,misses,evictions,traffic-up
TX2,1,41943328,8388649,8388137,536873536
TX2,2,8388649,8388649,8384553,536873536
TX2,3,8388649,8388649,7864361,536873536
A64FX,1,35651865,2097181,2096925,536878336
A64FX,2,2097181,2097181,2064413,536878336
