config,level,time,count
TX2,1,6,1
TX2,1,8,1
TX2,1,14,1
TX2,1,42,1
TX2,1,74,1
TX2,1,94,1
TX2,1,108,1
TX2,1,110,1
TX2,1,112,1
TX2,1,115,1
TX2,1,119,1
TX2,1,121,1
TX2,1,123,2
TX2,1,128,1
TX2,1,130,1
TX2,1,621,1
TX2,1,653,1
TX2,1,776,1
TX2,1,777,2
TX2,1,778,1
TX2,1,780,2
TX2,1,795,1
TX2,1,811,2
TX2,1,813,1
TX2,1,818,1
TX2,1,819,1
TX2,1,827,1
TX2,1,853,1
TX2,1,855,2
TX2,1,856,1
TX2,1,863,1
TX2,1,866,1
TX2,1,877,1
TX2,1,879,1
TX2,1,880,1
TX2,1,893,1
TX2,1,895,3
TX2,1,896,1
TX2,1,897,1
TX2,1,898,2
TX2,1,899,1
TX2,1,900,2
TX2,1,901,1
TX2,1,905,1
TX2,1,907,1
TX2,1,909,1
TX2,1,915,1
TX2,1,917,1
TX2,1,929,1
TX2,1,930,1
TX2,1,931,1
TX2,1,933,1
TX2,1,951,1
TX2,1,955,1
TX2,1,966,1
TX2,1,969,1
TX2,1,972,2
TX2,1,974,1
TX2,1,975,1
TX2,1,982,1
TX2,1,985,1
TX2,1,991,1
TX2,1,993,1
TX2,1,995,1
TX2,1,1000,2
TX2,1,1001,3
TX2,1,1004,1
TX2,1,1005,2
TX2,1,1006,1
TX2,1,1009,1
TX2,1,1013,1
TX2,1,1014,1
TX2,1,1016,1
TX2,1,1019,1
TX2,1,1021,1
TX2,1,1022,5
TX2,1,1024,2048
TX2,1,1026,1
TX2,1,1028,1
TX2,1,1030,1
TX2,1,1031,3
TX2,1,1032,2
TX2,1,1044,1
TX2,1,1045,1
TX2,1,1052,1
TX2,1,1054,1
TX2,1,1064,1
TX2,1,1072,1
TX2,1,1080,1
TX2,1,1084,1
TX2,1,1088,1
TX2,1,1089,1
TX2,1,1090,1
TX2,1,1096,1
TX2,1,1099,2
TX2,1,1100,1
TX2,1,1101,1
TX2,1,1108,1
TX2,1,1113,1
TX2,1,1126,1
TX2,1,1133,1
TX2,1,1135,1
TX2,1,1136,2
TX2,1,1139,1
TX2,1,1148,1
TX2,1,1149,1
TX2,1,1150,1
TX2,1,1152,1
TX2,1,1154,2
TX2,1,1156,1
TX2,1,1157,1
TX2,1,1164,1
TX2,1,1165,1
TX2,1,1166,1
TX2,1,1167,1
TX2,1,1168,1
TX2,1,1170,1
TX2,1,1173,3
TX2,1,1175,1
TX2,1,1180,2
TX2,1,1185,1
TX2,1,1191,1
