config,level,accesses,misses,evictions,traffic-up
TX2,1,72582049,241876,241364,15480064
TX2,2,241876,33143,29047,2121152
TX2,3,33143,11285,0,722240
A64FX,1,68238040,39469,39213,10104064
A64FX,2,39469,2844,0,728064
