config,level,accesses,misses,evictions,traffic-up
TX2,1,14694001,947076,946564,60612864
TX2,2,947076,708014,703918,45312896
TX2,3,708014,300582,0,19237248
A64FX,1,14512744,215570,215314,55185920
A64FX,2,215570,84296,51528,21579776
